Outbound Flight,Return Flight,Outbound Price,Return Price,Total Price
2025-05-11T11:30:00 - 2025-05-11T12:45:00 (Warsaw Modlin -> Budapest),2025-05-24T08:30:00 - 2025-05-24T09:45:00 (Budapest -> Warsaw Modlin),61.5 USD,70.59 USD,132.09 USD
2025-05-18T11:30:00 - 2025-05-18T12:45:00 (Warsaw Modlin -> Budapest),2025-05-31T08:30:00 - 2025-05-31T09:45:00 (Budapest -> Warsaw Modlin),61.5 USD,85.35 USD,146.85 USD
2025-05-10T06:50:00 - 2025-05-10T08:05:00 (Warsaw Modlin -> Budapest),2025-05-24T08:30:00 - 2025-05-24T09:45:00 (Budapest -> Warsaw Modlin),77.04 USD,70.59 USD,147.63 USD
2025-05-17T06:50:00 - 2025-05-17T08:05:00 (Warsaw Modlin -> Budapest),2025-05-30T11:40:00 - 2025-05-30T12:55:00 (Budapest -> Warsaw Modlin),90 USD,64.35 USD,154.35 USD
2025-05-05T11:50:00 - 2025-05-05T13:05:00 (Warsaw Modlin -> Budapest),2025-05-20T15:35:00 - 2025-05-20T16:50:00 (Budapest -> Warsaw Modlin),61.5 USD,106.11 USD,167.61 USD
2025-05-03T06:50:00 - 2025-05-03T08:05:00 (Warsaw Modlin -> Budapest),2025-05-16T11:40:00 - 2025-05-16T12:55:00 (Budapest -> Warsaw Modlin),88.77 USD,88.35 USD,177.12 USD
2025-05-06T13:55:00 - 2025-05-06T15:10:00 (Warsaw Modlin -> Budapest),2025-05-20T15:35:00 - 2025-05-20T16:50:00 (Budapest -> Warsaw Modlin),86.94 USD,106.11 USD,193.05 USD
2025-05-12T11:50:00 - 2025-05-12T13:05:00 (Warsaw Modlin -> Budapest),2025-05-25T09:50:00 - 2025-05-25T11:05:00 (Budapest -> Warsaw Modlin),64.23 USD,139.5 USD,203.73 USD
2025-05-16T13:20:00 - 2025-05-16T14:35:00 (Warsaw Modlin -> Budapest),2025-05-30T11:40:00 - 2025-05-30T12:55:00 (Budapest -> Warsaw Modlin),141.96 USD,64.35 USD,206.31 USD
2025-05-16T20:50:00 - 2025-05-16T22:55:00 (Warsaw Modlin -> Milan Bergamo),2025-05-30T23:20:00 - 2025-05-31T01:15:00 (Milan Bergamo -> Warsaw Modlin),73.95 USD,153.03 USD,226.98 USD
2025-05-13T13:55:00 - 2025-05-13T15:10:00 (Warsaw Modlin -> Budapest),2025-05-26T10:10:00 - 2025-05-26T11:25:00 (Budapest -> Warsaw Modlin),66.33 USD,162.84 USD,229.17 USD
2025-05-09T13:20:00 - 2025-05-09T14:35:00 (Warsaw Modlin -> Budapest),2025-05-24T08:30:00 - 2025-05-24T09:45:00 (Budapest -> Warsaw Modlin),166.26 USD,70.59 USD,236.85 USD
2025-05-09T20:50:00 - 2025-05-09T22:55:00 (Warsaw Modlin -> Milan Bergamo),2025-05-23T23:20:00 - 2025-05-24T01:15:00 (Milan Bergamo -> Warsaw Modlin),179.52 USD,103.11 USD,282.63 USD
2025-05-02T13:20:00 - 2025-05-02T14:35:00 (Warsaw Modlin -> Budapest),2025-05-16T11:40:00 - 2025-05-16T12:55:00 (Budapest -> Warsaw Modlin),222.81 USD,88.35 USD,311.16 USD
2025-05-17T17:05:00 - 2025-05-17T20:15:00 (Warsaw Modlin -> Palma de Mallorca),2025-05-31T21:05:00 - 2025-06-01T00:10:00 (Palma de Mallorca -> Warsaw Modlin),178.53 USD,267.96 USD,446.49 USD
2025-05-11T12:40:00 - 2025-05-11T14:45:00 (Warsaw Modlin -> Milan Bergamo),2025-05-25T15:10:00 - 2025-05-25T17:05:00 (Milan Bergamo -> Warsaw Modlin),133.68 USD,319.56 USD,453.24 USD
2025-05-04T12:40:00 - 2025-05-04T14:45:00 (Warsaw Modlin -> Milan Bergamo),2025-05-18T15:10:00 - 2025-05-18T17:05:00 (Milan Bergamo -> Warsaw Modlin),306.48 USD,332.52 USD,639 USD
2025-05-03T17:05:00 - 2025-05-03T20:15:00 (Warsaw Modlin -> Palma de Mallorca),2025-05-17T21:05:00 - 2025-05-18T00:10:00 (Palma de Mallorca -> Warsaw Modlin),285.27 USD,470.28 USD,755.55 USD
